Date,Session,StartDate,StartTime,EndDate,EndTime,Invited,Presenter,Presenter's Affiliation,In-Person/Remote,Coauthors,Coauthors affiliation,Paper Title,Abstract
07/15/22,Physics Education Research,07/15/22,6:00 PM,07/15/22,6:30 PM,1,Christopher Fischer,University of Kansas,Remote,Sarah Rush,University of Kansas,Helping traditionally under-served populations by changing the pedagogy of introductory physics,"We have developed a new curriculum for introductory physics that shifts the initial focus of instruction away from forces and the associated vector mathematics, which are known to be problematic for students, to the scalar quantity energy, which is more closely aligned with their previously established intuition, and associated differential and integral calculus.  I will present the results of a longitudinal study demonstrating that implementation of this calculus-enhanced “energy-first” curriculum improved performance in downstream engineering courses for students with lower ACT math scores. "
07/15/22,Physics Education Research,07/15/22,6:30 PM,07/15/22,6:45 PM,,Arbin Thapaliya,Franklin College,Remote,Jessica Mahoney;,,Teaching ultrasound to undergraduates using project-based learning approach,"In this talk, we will present about a unique collaboration between a physics faculty, a librarian, and a physician in developing and teaching an ultrasound course in a primarily undergraduate institution.  The course followed the Project-Based-Learning (PjBL) approach in which students, by way of argumentation and research, actively and collaboratively engaged in solving real-world and personally meaningful problems. As such, Information Literacy skills were naturally incorporated throughout all of the PjBL projects that students worked on in this course. In preparation for these projects, students learned about basic principles behind ultrasound, as well as the basic operation, controls, and features of an ultrasound equipment. They were also trained to develop ultrasound skills to identify normal anatomy of musculoskeletal, cardiovascular, and abdominal organs and structures. We will present about the opportunities, challenges, and success of this course."
07/15/22,Physics Education Research,07/15/22,6:45 PM,07/15/22,7:00 PM,,Puskar Chapgain,Southern Arkansas University,Remote,Nabin Malakar; Suman Neupane; Dipak Rimal; Lavana Kindle,Worcester State University; Middle Tennessee State University; The Bee Corp; Southern Arkansas University,Does Peer-Assisted Instruction for University Physics Help Improve Student Learning?,"Supplemental Instruction (SI) is a teaching method adopted by academic institutions to strengthen and extend learning opportunities beyond regular classroom lectures. The supplemental instructor is a junior or senior level student with a track record of a sound knowledge of the material and works closely with the students seeking help. The SI leader is free to provide different teaching/learning strategies to foster problem-solving skills and critical thinking behavior. While the supplemental instructor is independent in conducting the learning sessions, they work closely with the course instructor. In this work, we investigate the efficacy of the SI model in the university physics at Southern Arkansas University using data from ten years. Furthermore, we discuss how this additional teaching pedagogy elucidates to successful completion of the physics class, retention in the department/university, and the overall academic success through the peers’ support.
"
07/15/22,Physics Education Research,07/15/22,7:00 PM,07/15/22,7:15 PM,,Simon Rees,"WPI Student, Rudra Kafle",Remote,,,Supplementing the Learning of Physics with the Focused Instruction of Graphicacy,"Graphicacy, or proficiency in using and making graphs, is a useful skill in academia and industry. However, it has been shown in past research that high school students are not learning, or perhaps not understanding, how to read graphs— specifically kinematic graphs of displacement, velocity, and acceleration. My MQP project was based on this notion, and was an investigation into ways to help students become more proficient in graphicacy. I had the opportunity to teach physics at Leominster High School (LHS). The approach for the project was to teach the regular curriculum with a greater focus on graphing and graphing methods for solving physics problems. The results were measured with a pre and post test which assessed students’ confidence in graphing, their ability to graph kinematics scenarios, and their ability to draw conclusions from more complex graphs. Results of the posttest were better than the pretest in all categories. These results are promising and demonstrate that if teachers have a more focused instruction on graphicacy supplementary to their normal curriculum, student understanding of graphicacy
itself may increase. "
07/15/22,Physics Education Research,07/15/22,7:15 PM,07/15/22,7:30 PM,,Anna Mederer,Worcester Polytechnic Institute,Remote,L Dana,Worcester Polytechnic Institute,Scaffolding Writing in Physics Labs,"Communicating physics is an essential learning outcome for undergraduate physics courses because it facilitates the synthesis of students’ ideas, is a useful professional skill, and is the basis of sharing knowledge with a broader community. Physics lab courses are an ideal setting to learn these communication skills. Writing is an important subset of communicating physics, which has been explored in the “Framework of Goals for Writing in Physics Lab Classes” from Hoehn and Lewandowski. The overall goal of this project is to use this framework to understand how students acquire writing skills in physics, to structure labs to support learning those skills, and to measure the effectiveness of scaffolding writing skills into the lab sequence. At our institution, we are restructuring the lab sequence to scaffold writing skills. We collected and analyzed student writing samples and open response feedback surveys and will present preliminary results."
07/15/22,"Data Science, Quantum Computing, Artificial Intelligence",07/15/22,7:45 PM,07/15/22,8:15 PM,1,Bikalpa Neupane,Takeda Pharmaceuticals,Remote,,,Transition from a Physicist to a Data Scientist,"If you are thinking of an alternative career path as a data scientist or if you have already started your career and planning the next step, this talk will guide you through data science fundamentals, job preparation technique, and overall market landscape. You will also learn what a data science roadmap looks like at technology companies vs non-technology companies, what skills you will need to succeed, how to prepare for the interviews, and what levels of compensation you can expect as an entry level or a mid-career data scientist. You will learn about the fundamental differences and expectations as an academic researcher vs an applied practitioner in the industry"
07/15/22,"Data Science, Quantum Computing, Artificial Intelligence",07/15/22,8:15 PM,07/15/22,8:30 PM,,Pratik Kafle,Reed College,Remote,,,On Schrodinger-Newton equation in 2-dimension,"Numerical solutions to the Schrödinger-Newton equation with an added self-interaction term are studied via the Crank-Nicholson method, and the results are compared with the Runge-Kutta method. Conservation laws associated with the equations are put forward as a check of the numerical solutions."
07/15/22,"Data Science, Quantum Computing, Artificial Intelligence",07/15/22,8:30 PM,07/15/22,8:45 PM,,Kamal R Dhakal,AbbVie Inc,Remote,,,AI For an Eye- Computer Vision is Helping Human Vision," Computer vision imparts a similarity to that of human vision, however there are massive contrasts between the two. Human vision is a perplexing cycle which not only enable to ‘see’ the objects but seeing often associated with another complex phenomena called perception that is not yet understood totally. Computer vision is an innovative execution of human vision that empowers computer to accomplish certain human vision capacities, but it is surpassing the human vision in some areas for example in contrast sensitivity and visual acuity which are key important aspect of object recognition and segmentation from a scene. In ophthalmology artificial intelligence (AI) has been primarily applied to medical image analysis, in which AI have shown robust diagnostic performance in detecting various eye diseases early. AI for an eye, particularly in ocular imaging used fundus photographs and optical coherence tomography (OCT) images as an input and provide the output whether the individual has disease or not at early state which is very important for therapeutic intervention of retinal disease such as diabetic retinopathy, glaucoma, age-related macular degeneration. Using AI, here, we have shown measurement of retinal nerve and ganglion cell layer as hallmark of retinal diseases with higher accuracy and precision than conventional image processing method."
07/15/22,Applied and Engineering Physics,07/15/22,7:00 PM,07/15/22,7:30 PM,1,Rajendra Dahal,"Department of Electrical, Computer, and Systems Engineering, Rensselaer Polytechnic Institute, Troy, New York 12180-3522, USA",Remote,Ishwara B. Bhat; Yaron Danon,"Department of Electrical, Computer, and Systems Engineering, Rensselaer Polytechnic Institute, Troy, New York 12180-3522, USA",Large Area High Efficiency Self-Powered Solid State Thermal Neutron Detectors,"The development of high efficiency large area solid state neutron detectors is urgent for a wide range of civilian and defense applications. The applications of present neutron detector system are limited by the cost, size, weight, power requirements, and performance of the system. The self-powered or very low power consuming solid state neutron detector using highly matured silicon technology would provide significant benefits in terms of cost and volume, as well as allow for wafer level integration with charge preamplifier and readout electronics. We present here current research advances at RPI on the fabrication and characterization of large area solid state thermal neutron detector module with detection area up to 16 cm2. The detector utilizes three dimensional honeycomb silicon micro-structures with continuous p+-n junction diode filled with en-riched boron (99% of 10B) as a converter material for thermal neutron detection. A continuous p-n junction formed over the entire surface of the microstructure helps to achieve an extremely low leakage current density of ~6.1×10-9 A/cm2 at -1 V for a 2.5×2.5 mm2 detector. This extremely low leakage current results in low electronic noise, which enables the fabrication of large-area detectors. An intrinsic thermal neutron detection efficiency of ~26% for a 2.5×2.5 mm2 detector element was obtained under zero bias voltage from Maxwellian spectra incident normally on the detector surfaces. Further, we measured the efficiency of these detectors, using a single pre-amp, as a function of detection area and found that thermal neutron detection efficiency remains almost same up to 8cm2 and decreases by 20% when the device area increases from 8 to 16 cm2. These current results show the promise of achieving highly efficient large area solid state thermal neutron detectors with low gamma sensitivity at low cost using matured silicon processing technology for future applications."
07/15/22,Condensed Matter Physics and Material Science,07/15/22,7:30 PM,07/15/22,7:45 PM,,Iftakhar Bin Elius,University of Central Florida (UCF),Remote,"Iftakhar Bin Elius; Firoza Kabir ; M. Mofazzel Hosen; Xiaxin Ding ; Christopher Lane ; Gyanendra Dhakal ; Yangyang Liu; Klauss Dimitri ;Christopher Sims ;Sabin Regmi ;Anup Pradhan Sakhya ; Luis Persaud ; John E. Beetar; Yong Liu ;Michael Chini; Arjun K. Pathak, Krzysztof Gofryk ;Madhab Neupane","University of Central Florida, Orlando, FL, United States; University of Central Florida, Orlando, FL, United States; Boston College, Boston ; Idaho National Laboratory, Idaho Falls, ID, United States ; Theoretical Division, Los Alamos National Laboratory, Los Alamos, NM, United States & Center for Integrated Nanotechnologies, Los Alamos National Laboratory, Los Alamos, NM, United States ;University of Central Florida, Orlando, FL, United States ;University of Central Florida, Orlando, FL, United States; University of Central Florida, Orlando, FL, United States ;University of Central Florida, Orlando, FL, United States; University of Central Florida, Orlando, FL, United States; University of Central Florida, Orlando, FL, United States ;University of Central Florida, Orlando, FL, United States ;Department of Physics, University of Central Florida, Orlando, FL, United States; Crystal Growth Facility, Institute of Physics, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland & Ames Laboratory, US Department of Energy, Ames, IA, United States ; University of Central Florida (UCF), Florida; State University at New York, Buffalo State, Newyork ; Los Almos National Laboratory, New Mexico ; Idaho National Laboratory, Idaho ;University of Central Florida (UCF) ",Effect of dilute magnetism in a topological insulator,"Three-dimensional topological insulator (TI) has emerged as a unique state of quantum matter and generated enormous interests in condensed matter physics. The surfaces of a three-dimensional TI consist of a massless Dirac cone, which is characterized by the Z2 topological invariant. Introduction of magnetism on the surface of a TI is essential to realize the quantum anomalous Hall effect and other novel magneto-electric phenomena. Here, by using a combination of first-principles calculations, magneto-transport and angle-resolved photoemission spectroscopy (ARPES), we study the electronic properties of gadolinium (Gd)-doped Sb2Te3. Our study shows that Gd doped Sb2Te3 is a spin-orbit-induced bulk band-gap material, whose surface is characterized by a single topological surface state. Our results provide a new platform to investigate the interactions between dilute magnetism and topology in magnetic doped topological materials."
